osrednji,192285
DZ,192126
obraz,192112
dogajanje,191900
imenovan,191849
znamka,191751
M.,191378
ogled,191171
nogomet,190971
izvajati,190905
zmagovalec,190546
jutri,190467
mama,190304
obravnavati,189519
pogajanje,189396
deti,188921
trajati,188805
nameravati,188723
računalnik,188705
hitrost,188625
ženski,188385
g,188383
davčen,188112
razprava,187990
fakulteta,187891
SIT,187878
popoln,187861
preteklost,187297
predmet,187122
igrišče,186881
Milan,186602
zaščita,185965
oceniti,185497
trening,185493
generalen,185490
koža,185421
kupec,185371
zdrav,185125
umetnost,184368
vsekakor,184163
zvečer,183600
stališče,183582
lepo,183486
devet,183352
vložiti,183158
mreža,183001
dneven,182917
televizija,182282
vesel,182243
pozornost,181999
pismo,181715
vreden,181631
seznam,181594
preden,181590
izdati,181543
družinski,181277
omogočiti,181225
naložba,181019
površina,180663
organizirati,180594
konkurenca,180565
podpisati,180400
drag,180246
mir,180225
napisati,180110
priznanje,180002
oblačno,179637
praznik,179357
gora,179353
celjski,179321
strah,179169
južen,179010
končen,178912
nekoč,178346
vrt,178277
no,177878
de,177826
dokler,177803
par,177785
desetletje,177544
zapustiti,177269
daleč,177265
oddelek,176931
dežela,176926
zaprt,176735
udeleženec,176626
zamenjati,176610
kazenski,176595
nevaren,176235
gledališče,176218
doživeti,176157
učinek,176106
zrak,176032
stopiti,176021
tovrsten,175860
celota,175605
nujen,175578
stik,175452
izvedba,175398
njun,175255
severen,175170
gozd,174835
srbski,174832
odgovoren,174752
upraven,174666
slednji,174530
nogometaš,174468
orožje,174288
pozitiven,174234
park,174146
davek,173828
lahek,173801
e,173671
združenje,173666
Krka,173622
temperatura,173114
pogovarjati,172694
York,172644
izvedeti,172116
uživati,171990
zakonodaja,171977
izbira,171785
prenos,171738
nameniti,171729
tehničen,171727
čist,171558
okolica,171302
funkcija,170809
narod,170685
prihodek,170468
podati,170393
odgovornost,170360
nadaljnji,170140
dovoljenje,170110
regija,169985
zemljišče,169858
plačilo,169609
voziti,169397
zvezda,169342
količina,169119
osnova,169031
dvakrat,169011
zavarovanje,168532
dolina,168427
uspešno,168277
vstop,168233
pobuda,167902
zavrniti,167787
brat,167702
tekmec,167553
izbor,167431
vroč,167394
obveznost,167253
odkriti,167234
niz,166334
igralka,166311
izkoristiti,166303
večinoma,166070
vladen,165984
živ,165974
podpirati,165926
tukaj,165895
zdravljenje,165889
zahoden,165876
organizator,165697
zagotavljati,165432
srečati,165314
oder,165207
početi,165038
poskus,164623
počasi,164610
otroški,164166
SDS,164100
popoldne,163930
kvalifikacija,163765
cel,163356
izjemen,163102
odpeljati,162610
izjemno,162430
zapor,162043
tečaj,161986
kak,161897
otok,161849
posnetek,161833
učinkovit,161823
žoga,161815
kakršen,161641
Ivan,161589
olje,161544
hoditi,161491
mandat,161085
raje,161062
človekov,160849
pritisk,160784
učenec,160768
Srbija,160256
proga,159968
urediti,159963
stavba,159915
London,159730
elektronski,159715
omrežje,159496
poudarjati,159387
kadar,159306
zjutraj,159281
pridružiti,159238
pričakovanje,159148
vsebovati,158687
prehod,157987
Franc,157802
zbirka,157627
mladinski,157490
soden,157368
ljudski,157324
zadetek,157040
prositi,156990
resen,156570
poleten,156244
končno,155756
mati,155580
radio,155389
pes,155027
malce,154993
neposreden,154981
vojak,154976
kategorija,154624
ugotavljati,154597
združen,154586
voditelj,154584
tek,154565
praksa,154476
gospod,154459
preprosto,154347
podpreti,154276
premoženje,154271
angleški,154244
Triglav,154140
rob,154035
industrija,153901
španski,153828
koalicija,153816
varen,153814
nadzoren,153672
bati,153525
papir,153145
počutiti,153055
dvigniti,152741
kolega,152626
znak,152589
napovedovati,152444
Bruselj,152441
roditi,152207
reševanje,152147
menda,152142
izguba,151889
bližnji,151661
bližina,151541
tradicionalen,151452
tedaj,151449
politik,151353
enako,151333
sektor,150835
odločba,150704
referendum,150657
članek,150305
spominjati,150217
iskanje,150079
svetnik,150066
The,150016
Janša,149978
lotiti,149948
Pariz,149910
vzrok,149835
poklicati,149603
skupščina,149366
turizem,149313
pošta,149082
veter,149072
material,149070
obravnava,148967
naroden,148881
stanovanjski,148811
ekonomski,148668
domov,148629
desen,148576
teči,148500
navijač,148430
rastlina,148335
preko,148299
Amerika,148224
nazadnje,147756
visoko,147565
slabo,147514
Igor,147202
zbornica,147158
preprečiti,147116
izreden,147069
predviden,146860
čutiti,146527
spraševati,146508
izraziti,146500
električen,146010
kazniv,145916
zahteven,145533
inštitut,145490
čisto,145361
moder,145343
kapital,145281
sodelavec,145279
generacija,145162
pretežno,145103
dosedanji,145082
ureditev,145074
borza,144975
priljubljen,144447
prinašati,144328
izziv,144161
obrniti,143977
posebno,143877
doba,143748
najbrž,143625
odigrati,143382
nasilje,142896
aktivnost,142419
smisel,142383
sejem,142301
prihod,142127
oblikovanje,142041
Robert,141878
prodajati,141601
Matjaž,141529
pretekel,141503
dostop,141298
natančno,141169
SP,141049
izvajanje,140729
zemlja,140696
razvojen,140366
zadeti,140135
televizijski,139929
spreminjati,139898
dokaz,139810
nevarnost,139766
objavljen,139705
Tomaž,139650
galerija,139603
luč,139601
potovanje,139392
Zagreb,139338
S.,139174
človeški,139036
padec,138811
zaslužiti,138783
avtocesta,138759
prebrati,138683
znižati,138600
sekretar,138550
plošča,138419
strel,138393
različica,138259
zoper,138221
kitajski,138140
določiti,138019
prestolnica,138003
samostojen,137722
grad,137557
veselje,137535
pristojen,137500
spodnji,137406
J.,137199
Boris,137146
povprečen,137040
gradben,137027
manjkati,136980
oblikovati,136753
uvrstitev,136600
operacija,136559
Španija,136497
reforma,136235
izvesti,136233
dokazati,136205
starost,136120
proizvajalec,136109
indeks,135953
analiza,135942
Borut,135907
ohraniti,135693
bistveno,135680
delavnica,135319
i,135289
klasičen,135193
Pahor,134989
odhod,134878
sestanek,134841
sprožiti,134825
obenem,134647
razkriti,134369
reka,134334
določati,134327
zimski,134312
sprejet,134205
okno,134057
omeniti,133993
zares,133789
letnik,133641
izpostaviti,133574
kombinacija,133517
zabava,133502
smučarski,133442
odprtje,133396
Američan,133274
povprečje,132958
las,132803
navajati,132783
nekakšen,132425
šteti,132380
sestra,132370
ocenjevati,132279
navedba,132200
ugoden,132155
Nemec,132051
urejen,132020
znanost,131883
podobno,131870
privoščiti,131681
Velenje,131612
aktiven,131590
last,131564
koli,131387
učitelj,131309
kakovosten,131200
tovarna,131158
telesen,130992
sonce,130903
video,130679
režiser,130643
spor,130584
zgodovinski,130451
kri,130405
dosežek,130319
prepričati,130313
načrtovati,130301
Ptuj,130275
tretjina,130144
A.,130057
nastopati,129947
sodba,129911
selektor,129877
svoboda,129794
upravljanje,129435
dogovoriti,129323
nepremičnina,129253
obnova,129210
Laško,129043
poškodovan,129040
nikakor,129013
tik,129011
duh,128911
ministrica,128825
vame,128809
časopis,128596
dodajati,128590
pozvati,128317
Britanija,128284
bog,128273
bolečina,128202
aktualen,128145
všeč,127960
zaupati,127828
polje,127811
prijava,127643
zapreti,127637
vodenje,127596
poceni,127574
sporen,127539
vrtec,127448
umetniški,127389
vrhunski,127323
zunaj,127149
skrb,127109
premalo,127084
dodatek,126983
sneg,126877
prikazati,126564
novost,126412
kolikor,126277
posojilo,125958
naučiti,125831
preprost,125763
pritožba,125696
moden,125602
umetnik,125431
strelec,125138
Marjan,125049
delno,125037
stalen,125018
of,124985
meso,124921
rekord,124643
ravnanje,124181
tožba,124180
hudo,124152
povzročati,124096
izdaja,123866
odpadek,123485
prijaviti,123457
brezplačen,123377
skrivati,123302
nasprotnik,123009
topel,122953
Marija,122930
servis,122892
bralec,122883
zgornji,122800
ujeti,122689
kranjski,122675
B,122608
polčas,122545
mimo,122490
internet,122360
polfinale,122160
športnik,122023
objava,121921
denaren,121673
končan,121627
parlamentaren,121502
vztrajati,121454
veseliti,121434
ponovitev,121420
finance,121393
D.,121189
znesek,121127
prijeten,121109
Anton,121050
spraviti,120969
element,120739
razviti,120678
NLB,120584
ja,120553
knjižnica,120425
drama,120368
strategija,120336
ladja,120309
tožilstvo,120188
David,120111
izboljšati,119976
povabiti,119911
Bled,119910
odziv,119729
študij,119726
komaj,119691
mleko,119684
posredovati,119546
vračati,119421
delodajalec,119385
B.,119173
Krško,119143
kmet,118949
lokacija,118921
Jugoslavija,118886
kriv,118844
zasedba,118808
stroj,118712
faza,118590
poraba,118533
zaključen,118528
vzhod,118521
izredno,118432
poletje,118358
redek,118352
Martin,118327
tržen,118281
kmetija,118142
svež,118086
kilogram,118071
rak,117968
zbran,117918
tehnika,117848
znotraj,117787
sposoben,117779
običajno,117686
iziti,117629
vzorec,117550
Bojan,117437
kmetijstvo,117367
graditi,117281
ponoviti,116989
m2,116931
snov,116869
vratar,116854
sedeti,116633
izdelava,116466
odzvati,116259
Luka,116206
pokrajina,116173
stopinja,115947
obračun,115804
ustanoviti,115798
poslanski,115617
kg,115604
album,115592
odstavek,115580
regionalen,115504
tveganje,115375
viden,115302
dovoliti,115224
potnik,115055
obseg,115040
Aleš,114996
Sobota,114846
naselje,114810
pomeriti,114798
predvidoma,114798
ustava,114761
poslušati,114732
vzhoden,114613
val,114532
poiskati,114444
predsednica,114417
sposobnost,114303
tujec,114295
preostal,114286
konkreten,114283
tvoj,114235
načelo,114223
govor,114183
standard,114164
sprva,114150
ustanova,114147
voden,114086
nasprotje,114014
prijazen,113936
spored,113916
poteza,113912
naveden,113737
drevo,113716
deliti,113684
vaja,113615
tamkajšnji,113526
uvoden,113342
obramben,113136
zaposlitev,113096
zaključiti,113088
financiranje,113085
Gregor,113075
dejansko,112961
ustvarjati,112906
zvezen,112799
napadalec,112756
predsedniški,112741
situacija,112735
Turčija,112698
zakonski,112689
sončen,112655
umakniti,112432
uradno,112431
mobilen,112420
klop,112414
zavarovalnica,112388
tja,112345
režija,112307
vrnitev,112279
gasilec,112097
tekmovalec,112066
preseliti,112046
skupno,111914
skladba,111693
status,111536
obala,111401
izhajati,111390
boriti,111340
presenetiti,111338
velikost,111035
zvezdnik,111005
kralj,110994
pogost,110846
sredina,110825
spolen,110821
temeljen,110793
ugotovitev,110618
kršitev,110530
okrepiti,110468
izvajalec,110433
nočen,110257
plin,110209
begunec,110180
oblačilo,110100
košarkar,110090
Ana,110003
negativen,109853
prazen,109716
Barcelona,109656
str.,109649
konj,109525
letališče,109411
npr.,109410
običajen,109274
